samples	size	depth	collection_from	latitude	longitude
SRR5617428	1.2~0.2	3	article	25.5	121.96
SRR5617429	1.2~0.2	3	article	25.5	121.96
SRR5617430	1.2~0.2	3	article	25.33	122.44
SRR5617431	1.2~0.2	3	article	26.13	120.12
SRR5617432	1.2~0.2	3	article	26.13	120.12
SRR5617433	1.2~0.2	3	article	25.83	121.03
SRR5617434	1.2~0.2	3	article	26	120.56
SRR5617435	1.2~0.2	3	article	25.83	121.03
SRR5617436	1.2~0.2	3	article	25.67	121.5
SRR5617437	1.2~0.2	3	article	25.67	121.5
SRR5617438	1.2~0.2	3	article	25.83	121.03
SRR5617439	1.2~0.2	3	article	25.83	121.03
SRR5617440	1.2~0.2	3	article	25.5	121.96
SRR5617441	1.2~0.2	3	article	25.67	121.5
SRR5617442	1.2~0.2	3	article	26	120.56
SRR5617443	1.2~0.2	3	article	26.13	120.12
SRR5617444	1.2~0.2	3	article	25.83	121.03
SRR5617445	1.2~0.2	3	article	26	120.56
SRR5617446	1.2~0.2	3	article	25.67	121.5
SRR5617447	1.2~0.2	3	article	25.67	121.5
SRR5617448	1.2~0.2	3	article	25.33	122.44
SRR5617449	1.2~0.2	3	article	25.33	122.44
SRR5617450	1.2~0.2	3	article	26	120.56
SRR5617451	1.2~0.2	3	article	25.25	122.68
SRR5617452	1.2~0.2	3	article	25.33	122.44
SRR5617453	1.2~0.2	3	article	26	120.56
SRR5617454	1.2~0.2	3	article	25.5	121.96
SRR5617455	1.2~0.2	3	article	25.5	121.96
SRR5617456	1.2~0.2	3	article	25.25	122.68
SRR5617457	1.2~0.2	3	article	25.25	122.68
SRR5617458	1.2~0.2	3	article	25.67	121.5
SRR5617459	1.2~0.2	3	article	25.33	122.44
SRR5617460	1.2~0.2	3	article	25.83	121.03
SRR5617461	1.2~0.2	3	article	25.33	122.44
SRR5617462	1.2~0.2	3	article	25.83	121.03
SRR5617463	1.2~0.2	3	article	25.67	121.5
SRR5617464	1.2~0.2	3	article	25.67	121.5
SRR5617465	1.2~0.2	3	article	25.5	121.96
SRR5617466	1.2~0.2	3	article	25.83	121.03
SRR5617467	1.2~0.2	3	article	26	120.56
SRR5617468	1.2~0.2	3	article	25.67	121.5
SRR5617469	1.2~0.2	3	article	26.13	120.12
SRR5617470	1.2~0.2	3	article	25.33	122.44
SRR5617471	1.2~0.2	3	article	25.25	122.68
SRR5617472	1.2~0.2	3	article	25.83	121.03
SRR5617473	1.2~0.2	3	article	26	120.56
SRR5617474	1.2~0.2	3	article	25.67	121.5
SRR5617475	1.2~0.2	3	article	25.5	121.96
SRR5617476	1.2~0.2	3	article	25.25	122.68
SRR5617477	1.2~0.2	3	article	26.13	120.12
SRR5617478	1.2~0.2	3	article	26	120.56
SRR5617479	1.2~0.2	3	article	25.33	122.44
SRR5617480	1.2~0.2	3	article	26.13	120.12
SRR5617481	1.2~0.2	3	article	25.5	121.96
SRR5617482	1.2~0.2	3	article	25.33	122.44
SRR5617483	1.2~0.2	3	article	25.5	121.96
SRR5617484	1.2~0.2	3	article	25.67	121.5
SRR5617485	1.2~0.2	3	article	25.67	121.5
SRR5617486	1.2~0.2	3	article	25.83	121.03
SRR5617487	1.2~0.2	3	article	25.83	121.03
SRR5617488	1.2~0.2	3	article	26.13	120.12
SRR5617489	1.2~0.2	3	article	25.33	122.44
SRR5617490	1.2~0.2	3	article	25.5	121.96
SRR5617491	1.2~0.2	3	article	25.17	122.91
SRR5617492	1.2~0.2	3	article	25.33	122.44
SRR6287204	1.2~0.2	5	article	28.708	124.897
SRR6287205	1.2~0.2	5	article	28.417	125.667
SRR6287206	1.2~0.2	5	article	25.084	123.15
SRR6287207	1.2~0.2	5	article	26.875	123.812
SRR6287208	1.2~0.2	5	article	27.501	125.125
SRR6287209	1.2~0.2	5	article	26.584	124.583
SRR6287210	1.2~0.2	5	article	25.903	120.776
SRR6287211	1.2~0.2	5	article	25.418	122.207
SRR6287212	1.2~0.2	5	article	27.167	123.042
SRR6287213	1.2~0.2	5	article	26.958	120.833
SRR6287214	1.2~0.2	5	article	25.084	123.15
SRR6287215	1.2~0.2	5	article	26.875	123.812
SRR6287220	1.2~0.2	5	article	25.903	120.776
SRR6287221	1.2~0.2	5	article	25.418	122.207
SRR6287222	1.2~0.2	5	article	27.167	123.042
SRR6287223	1.2~0.2	5	article	26.958	120.833
SRR6287224	1.2~0.2	5	article	27.888	124.098
SRR6287225	1.2~0.2	5	article	28.278	123.07
SRR6287226	1.2~0.2	5	article	29.68	125.305
SRR6287227	1.2~0.2	5	article	29.294	126.326
SRR6287228	1.2~0.2	5	article	30.167	126.999
